type_num,size_adv,size_out_pct,days_fm_last,mkt_cap,return_30d_num
1,0.07384619,0.003966238,0,2773,1
1,0.392861732,0.021100385,2,2773,1
1,0.051692333,0.002776366,0,2773,1
1,0.051692333,0.002776366,0,2773,1
1,0.392861732,0.021100385,1,2773,1
1,0.392861732,0.021100385,0,2773,1
1,0.391384808,0.02102106,1,2773,1
1,0.391384808,0.02102106,0,2773,1
-1,73.8461902,3.966237797,3,2773,1
1,0.162461618,0.008725723,0,2773,1
1,0.162461618,0.008725723,0,2773,1
-1,73.8461902,3.966237797,0,2773,1
1,0.1240616,0.006663279,1,2773,1
1,0.1240616,0.006663279,0,2773,1
1,0.110769285,0.005949357,2,2773,1
1,0.110769285,0.005949357,0,2773,1
1,1.333662195,0.071630255,1,2773,1
1,1.333662195,0.071630255,0,2773,1
1,0.485907932,0.026097845,3,2773,1
1,0.485907932,0.026097845,0,2773,1
1,1.56849308,0.084242891,1,2773,-1
1,1.56849308,0.084242891,0,2773,-1
1,3.092678446,0.166106039,1,2773,-1
1,3.092678446,0.166106039,0,2773,-1
1,1.159385186,0.062269933,1,2773,-1
1,1.159385186,0.062269933,0,2773,-1
1,1.881600926,0.101059739,1,2773,-1
1,1.881600926,0.101059739,0,2773,-1
1,0.138830838,0.007456527,4,2773,-1
1,0.138830838,0.007456527,0,2773,-1
1,0.243692428,0.013088585,1,2773,-1
1,0.243692428,0.013088585,0,2773,-1
1,0.07384619,0.003966238,2,2773,-1
1,0.088615428,0.004759485,3,2773,-1
1,0.088615428,0.004759485,0,2773,-1
1,0.406154046,0.021814308,1,2773,-1
1,0.406154046,0.021814308,0,2773,-1
1,0.866954273,0.046563632,1,2773,-1
1,0.866954273,0.046563632,0,2773,-1
1,0.163938542,0.008805048,1,2773,-1
1,0.163938542,0.008805048,0,2773,-1
1,0.163938542,0.008805048,0,2773,-1
1,1.2036929,0.064649676,1,2773,-1
1,1.2036929,0.064649676,0,2773,-1
1,1.2036929,0.064649676,0,2773,-1
1,0.406154046,0.021814308,5,2773,-1
1,0.406154046,0.021814308,0,2773,-1
1,0.406154046,0.021814308,0,2773,-1
1,0.096000047,0.005156109,1,2773,-1
1,0.096000047,0.005156109,0,2773,-1
1,0.07384619,0.003966238,1,2773,-1
1,0.07384619,0.003966238,0,2773,-1
1,0.081230809,0.004362862,4,2773,-1
1,0.081230809,0.004362862,0,2773,-1
1,0.081230809,0.004362862,1,2773,-1
1,0.081230809,0.004362862,0,2773,-1
1,0.369230951,0.019831189,7,2773,1
1,0.369230951,0.019831189,0,2773,1
1,0.155076999,0.008329099,1,2773,1
1,0.155076999,0.008329099,0,2773,1
1,0.051692333,0.002776366,4,2773,1
1,0.051692333,0.002776366,0,2773,1
1,0.169846237,0.009122347,1,2773,1
1,0.169846237,0.009122347,0,2773,1
1,0.081230809,0.004362862,1,2773,1
1,0.081230809,0.004362862,0,2773,1
1,0.496246398,0.026653118,1,2773,1
1,0.496246398,0.026653118,0,2773,1
1,0.054646181,0.002935016,4,2773,1
1,0.054646181,0.002935016,0,2773,1
1,0.171323161,0.009201672,2,2773,1
1,0.171323161,0.009201672,0,2773,1
1,0.171323161,0.009201672,0,2773,1
1,0.406154046,0.021814308,1,2773,1
1,0.406154046,0.021814308,0,2773,1
1,0.384000189,0.020624437,1,2773,1
1,0.384000189,0.020624437,0,2773,1
1,0.760615759,0.040852249,4,2773,1
1,0.760615759,0.040852249,0,2773,1
1,0.760615759,0.040852249,0,2773,1
1,0.192000095,0.010312218,1,2773,1
1,0.192000095,0.010312218,0,2773,1
1,0.67938495,0.036489388,2,2773,1
1,0.67938495,0.036489388,0,2773,1
1,0.295384761,0.015864951,4,2773,1
1,0.295384761,0.015864951,0,2773,1
1,0.07384619,0.003966238,1,2773,1
1,0.07384619,0.003966238,0,2773,1
1,0.103384666,0.005552733,1,2773,-1
1,0.103384666,0.005552733,0,2773,-1
1,0.370707875,0.019910514,1,2773,1
1,0.370707875,0.019910514,0,2773,1
1,0.07384619,0.003966238,3,2773,-1
1,0.07384619,0.003966238,0,2773,-1
1,0.07384619,0.003966238,1,2773,-1
1,0.07384619,0.003966238,0,2773,-1
